6654.000,5712.00
1.000,6.60
3.385,44.50
0.920,5.70
2547.000,4603.00
10.550,179.50
0.023,0.30
160.000,169.00
3.300,25.60
52.160,440.00
0.425,6.40
465.000,423.00
0.550,2.40
187.100,419.00
0.075,1.20
3.000,25.00
0.785,3.50
0.200,5.00
1.410,17.50
60.000,81.00
529.000,680.00
27.660,115.00
0.120,1.00
207.000,406.00
85.000,325.00
36.330,119.50
0.101,4.00
1.040,5.50
521.000,655.00
100.000,157.00
35.000,56.00
0.005,0.14
0.010,0.25
62.000,1320.00
0.122,3.00
1.350,8.10
0.023,0.40
0.048,0.33
1.700,6.30
3.500,10.80
250.000,490.00
0.480,15.50
10.000,115.00
1.620,11.40
192.000,180.00
2.500,12.10
4.288,39.20
0.280,1.90
4.235,50.40
6.800,179.00
0.750,12.30
3.600,21.00
83.000,98.20
55.500,175.00
1.400,12.50
0.060,1.00
0.900,2.60
2.000,12.30
0.104,2.50
4.190,58.00
3.500,3.90
4.050,17.00
